"link, label",source,target,value,color,"node, label"
stream 1,0,1,100,"rgba(31, 119, 180, 0.8)",Grid
,1,7,97,"rgba(255, 127, 14, 0.8)",Transformer
,1,31,3,"rgba(44, 160, 44, 0.8)",Gas
,2,3,30,"rgba(214, 39, 40, 0.8)",Cogen
stream 1,2,4,65,"rgba(148, 103, 189, 0.8)",Boiler
,2,6,5,"rgba(140, 86, 75, 0.8)",Heating
,6,37,5,"rgba(227, 119, 194, 0.8)",Domestic Hot Water
,3,5,17,"rgba(127, 127, 127, 0.8)",Electricity
,3,37,4,"rgba(188, 189, 34, 0.8)",AHU
,3,7,9,"rgba(23, 190, 207, 0.8)",Radiant Panels
,4,5,52,"rgba(31, 119, 180, 0.8)",FCUs
,4,37,13,"rgba(255, 127, 14, 0.8)",Unit Heaters
,5,8,43,"rgba(44, 160, 44, 0.8)",Chiller Input
,5,9,21,"rgba(214, 39, 40, 0.8)",Chilled Water Pumps
,5,10,3,"rgba(148, 103, 189, 0.8)",Condenser Water Pumps
,5,11,2,"rgba(140, 86, 75, 0.8)",Cooling Tower Fans
,7,12,16,"rgba(227, 119, 194, 0.8)",AHU Fans 
,7,13,3,"rgba(127, 127, 127, 0.8)",Exhaust Fans
,7,14,2.7,"rgba(188, 189, 34, 0.8)",FCU Fans
,7,15,1.8,"rgba(23, 190, 207, 0.8)",HHWP
,7,16,6.4,"rgba(31, 119, 180, 0.8)",Radiant Panel Pumps
,7,17,9.1,"rgba(255, 127, 14, 0.8)",Sand Filter
,7,18,0.1,"rgba(44, 160, 44, 0.8)",Elevators
,7,19,0.9,"rgba(214, 39, 40, 0.8)",Lights
,7,20,1,"rgba(148, 103, 189, 0.8)",Receptacles
,7,21,0.1,"rgba(140, 86, 75, 0.8)",CRAC
,7,22,2,"rgba(227, 119, 194, 0.8)",Heat Exchangers
,7,23,32,"rgba(127, 127, 127, 0.8)",Humidifier
,7,24,19,"rgba(188, 189, 34, 0.8)",Sewage Ejector
,7,25,2,"rgba(23, 190, 207, 0.8)",Gas Booster
stream 1,7,26,4,"rgba(31, 119, 180, 0.8)",Domestic Water Booster
,7,27,5,"rgba(255, 127, 14, 0.8)",Building Heat
,7,28,0.3,"rgba(44, 160, 44, 0.8)",Waterside Free Cooling
,7,29,0.2,"rgba(214, 39, 40, 0.8)",Airside Free Cooling
,7,30,0.4,"rgba(148, 103, 189, 0.8)",Envelope Heat Loss
,12,31,16,magenta,Chiller
,13,31,3,"rgba(227, 119, 194, 0.8)",Cooling Tower
,14,31,2.7,"rgba(127, 127, 127, 0.8)",Atmosphere
,15,31,1.8,"rgba(188, 189, 34, 0.8)",
,16,31,6.4,"rgba(23, 190, 207, 0.8)",
,17,31,9.1,"rgba(31, 119, 180, 0.8)",
,18,31,0.1,"rgba(255, 127, 14, 0.8)",
,19,31,0.9,"rgba(44, 160, 44, 0.8)",
,20,31,1,"rgba(214, 39, 40, 0.8)",
,21,31,0.1,"rgba(148, 103, 189, 0.8)",
,22,31,2,"rgba(140, 86, 75, 0.8)",
Old generation plant (made-up),23,31,32,"rgba(227, 119, 194, 0.8)",
New generation plant (made-up),24,31,19,"rgba(127, 127, 127, 0.8)",
,25,31,2,,
,26,31,4,,
,27,31,5,,
,28,31,0.3,,
,29,31,0.2,,
,30,31,0.4,,
,8,31,43,,
,9,31,21,,
,10,31,3,,
,11,31,2,,
,31,32,17.5,,
,31,33,26.3,,
,31,34,35,,
,31,35,96.2,,
,35,36,96.2,,
,32,36,17.5,,
,33,37,26.3,,
,34,37,35,,
,36,37,113.7,,
